No.,channel,selfkoc_account,selfkoc_post_url,Likes,Comments,Views,selfkoc_post_date,selfkoc_video_id,,,,,,,,,,
80,youtube,@myintgotsu,https://www.youtube.com//shorts/NUHQnot-ZBQ,11,0,3939,2025/4/2,NUHQnot-ZBQ,,,,,,,,,,
81,youtube,@myintgotsu,https://www.youtube.com//shorts/KesAuyWa1EQ,35,0,3907,2025/3/4,KesAuyWa1EQ,,,,,,,,,,
82,youtube,@delimiroorozc,https://www.youtube.com//shorts/HEIluirN4og,35,0,3826,2025/3/8,HEIluirN4og,,,,,,,,,,
83,youtube,@delimiroorozc,https://www.youtube.com//shorts/8u_fgQaRzR4,29,0,3789,2025/2/2,8u_fgQaRzR4,,,,,,,,,,
84,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/DyjPOK8GfAw,24,0,3725,2025/3/19,DyjPOK8GfAw,,,,,,,,,,
85,youtube,@delimiroorozc,https://www.youtube.com//shorts/4cezg0R-yss,24,0,3698,2025/2/13,4cezg0R-yss,,,,,,,,,,
86,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/Gv2xB0TMMa4,23,0,3673,2025/4/1,Gv2xB0TMMa4,,,,,,,,,,
87,youtube,@davidmedeiros-f6g,https://www.youtube.com//shorts/CwMPGMC2p0Q,47,1,3597,2025/3/4,CwMPGMC2p0Q,,,,,,,,,,
88,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/yfHonFDjFm0,24,0,3569,2025/2/19,yfHonFDjFm0,,,,,,,,,,
89,youtube,@delimiroorozc,https://www.youtube.com//shorts/GTQhAi617zo,24,0,3533,2025/2/20,GTQhAi617zo,,,,,,,,,,
90,youtube,@davidmedeiros-f6g,https://www.youtube.com//shorts/jp0xAbca8-4,10,0,3474,2025/4/4,jp0xAbca8-4,,,,,,,,,,
91,youtube,@myintgotsu,https://www.youtube.com//shorts/NfQ7NGDT8nU,38,0,3432,2025/2/6,NfQ7NGDT8nU,,,,,,,,,,
92,youtube,@davidmedeiros-f6g,https://www.youtube.com//shorts/TfeuQ7StRHE,23,0,3377,2025/2/12,TfeuQ7StRHE,,,,,,,,,,
93,youtube,@delimiroorozc,https://www.youtube.com//shorts/m_etxdiwBuw,20,0,3356,2025/3/7,m_etxdiwBuw,,,,,,,,,,
94,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/VN3d0E1CS18,23,0,3353,2025/3/12,VN3d0E1CS18,,,,,,,,,,
95,youtube,@delimiroorozc,https://www.youtube.com//shorts/MrMouAjVKEs,41,1,3326,2025/3/8,MrMouAjVKEs,,,,,,,,,,
96,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/OsTCq7R320g,27,0,3320,2025/2/18,OsTCq7R320g,,,,,,,,,,
97,youtube,@delimiroorozc,https://www.youtube.com//shorts/WRKV70wsAyk,15,0,3135,2025/4/10,WRKV70wsAyk,,,,,,,,,,
98,youtube,@myintgotsu,https://www.youtube.com//shorts/7zUHoDfiyYM,33,0,3089,2025/2/21,7zUHoDfiyYM,,,,,,,,,,
99,youtube,@delimiroorozc,https://www.youtube.com//shorts/XzxgLpShlwU,33,1,2980,2025/1/22,XzxgLpShlwU,,,,,,,,,,
100,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/ThQp9xtBfis,15,0,2978,2025/4/10,ThQp9xtBfis,,,,,,,,,,
101,youtube,@stephaniewarner-e1y,https://www.youtube.com//shorts/P5ZvA5LPjpE,21,0,2952,2025/2/12,P5ZvA5LPjpE,,,,,,,,,,
102,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/jfJUxGBEpTM,36,0,2861,2025/2/14,jfJUxGBEpTM,,,,,,,,,,
103,youtube,@davidmedeiros-f6g,https://www.youtube.com//shorts/iQfGGOSNnfE,16,0,2850,2025/4/9,iQfGGOSNnfE,,,,,,,,,,
104,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/niBj1qk13NU,25,0,2838,2025/2/21,niBj1qk13NU,,,,,,,,,,
105,youtube,@delimiroorozc,https://www.youtube.com//shorts/NYtieerdEPM,39,0,2776,2025/2/19,NYtieerdEPM,,,,,,,,,,
106,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/U1KTIH-rmrw,27,0,2762,2025/3/5,U1KTIH-rmrw,,,,,,,,,,
107,youtube,@myintgotsu,https://www.youtube.com//shorts/CC5Nrwe1RMU,16,0,2658,2025/2/21,CC5Nrwe1RMU,,,,,,,,,,
108,youtube,@delimiroorozc,https://www.youtube.com//shorts/brU3W0unBOQ,10,0,2629,2025/4/9,brU3W0unBOQ,,,,,,,,,,
109,youtube,@delimiroorozc,https://www.youtube.com//shorts/5HS_xj7P0LY,13,0,2539,2025/3/17,5HS_xj7P0LY,,,,,,,,,,
110,youtube,@myintgotsu,https://www.youtube.com//shorts/SHfPnJiIBVw,28,0,2479,2025/3/27,SHfPnJiIBVw,,,,,,,,,,
111,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/xsJohQIQ4Rk,10,0,2472,2025/2/20,xsJohQIQ4Rk,,,,,,,,,,
112,youtube,@stephaniewarner-e1y,https://www.youtube.com//shorts/Tdledh02XAo,29,0,2457,2025/2/27,Tdledh02XAo,,,,,,,,,,
113,youtube,@myintgotsu,https://www.youtube.com//shorts/MObvwuDvXBM,17,0,2407,2025/2/26,MObvwuDvXBM,,,,,,,,,,
114,youtube,@davidmedeiros-f6g,https://www.youtube.com//shorts/hL6-JnNEv0s,20,0,2286,2025/4/2,hL6-JnNEv0s,,,,,,,,,,
115,youtube,@myintgotsu,https://www.youtube.com//shorts/QpdnVGKeM8s,16,0,2263,2025/3/2,QpdnVGKeM8s,,,,,,,,,,
116,youtube,@delimiroorozc,https://www.youtube.com//shorts/QWKlCSaP0RE,22,0,2250,2025/2/21,QWKlCSaP0RE,,,,,,,,,,
