No.,channel,selfkoc_account,selfkoc_post_url,Likes,Comments,shares,Views,selfkoc_post_date,,selfkoc_video_id
408,tiktok,@orozcde,https://www.tiktok.com/@orozcde/video/7466480754055351598,8,0,0,383,2025/2/1,,7466480754055351598
409,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7489483082781756718,1,0,0,380,2025/4/5,,7489483082781756718
410,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7467886463024254254,13,0,0,380,2025/2/5,,7467886463024254254
411,tiktok,@bonoh230601,https://www.tiktok.com/@bonoh230601/video/7490996466945658155,10,0,0,373,2025/4/9,,7490996466945658155
412,tiktok,@orozcde,https://www.tiktok.com/@orozcde/video/7468309528082320686,8,0,0,371,2025/2/6,,7468309528082320686
413,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7468495832392731947,22,0,2,369,2025/2/7,,7468495832392731947
414,tiktok,@orozcde,https://www.tiktok.com/@orozcde/video/7467885873741319470,14,0,0,369,2025/2/5,,7467885873741319470
415,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7486877821030190367,7,0,1,368,2025/3/28,,7486877821030190367
416,tiktok,@bonoh230601,https://www.tiktok.com/@bonoh230601/video/7473547304482442538,5,0,1,368,2025/2/21,,7473547304482442538
417,tiktok,@mariabjdzjo,https://www.tiktok.com/@mariabjdzjo/video/7473133952237227310,17,0,2,365,2025/2/19,,7473133952237227310
418,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7464248207850310958,9,0,1,356,2025/1/26,,7464248207850310958
419,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7472400309550189867,18,0,3,352,2025/2/17,,7472400309550189867
420,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7472024081248832811,6,0,0,345,2025/2/16,,7472024081248832811
421,tiktok,@mariabjdzjo,https://www.tiktok.com/@mariabjdzjo/video/7470727534083214638,14,0,0,345,2025/2/13,,7470727534083214638
422,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7473695753517681966,12,0,0,343,2025/2/21,,7473695753517681966
423,tiktok,@orozcde,https://www.tiktok.com/@orozcde/video/7490972776455507246,4,0,0,340,2025/4/9,,7490972776455507246
424,tiktok,@mariabjdzjo,https://www.tiktok.com/@mariabjdzjo/video/7468722827093495083,3,0,0,335,2025/2/8,,7468722827093495083
425,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7490972936594115870,8,0,1,327,2025/4/9,,7490972936594115870
426,tiktok,@orozcde,https://www.tiktok.com/@orozcde/video/7467583890710924590,13,0,0,326,2025/2/4,,7467583890710924590
427,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7486157601164643627,6,0,0,325,2025/3/27,,7486157601164643627
428,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7467583788655136043,8,0,0,323,2025/2/4,,7467583788655136043
429,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7470354656749997358,7,0,1,321,2025/2/12,,7470354656749997358
430,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7479094698079063342,1,0,0,319,2025/3/7,,7479094698079063342
431,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7489478901119339806,10,0,0,318,2025/4/5,,7489478901119339806
432,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7467214761818754350,6,0,0,313,2025/2/3,,7467214761818754350
433,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7466138478561004843,6,0,0,306,2025/2/1,,7466138478561004843
434,tiktok,@orozcde,https://www.tiktok.com/@orozcde/video/7462752977804102954,4,0,1,304,2025/1/22,,7462752977804102954
435,tiktok,#VALUE!,https://www.tiktok.com/@mariabjdzjo/photo/7470185245241838890,2,0,0,298,2025/2/11,,#VALUE!
436,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7467214316459003179,7,0,0,297,2025/2/3,,7467214316459003179
437,tiktok,@mariabjdzjo,https://www.tiktok.com/@mariabjdzjo/video/7469457487285030186,6,1,0,290,2025/2/10,,7469457487285030186
438,tiktok,@orozcde,https://www.tiktok.com/@orozcde/video/7467214802906025259,1,0,0,287,2025/2/3,,7467214802906025259
439,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7467215997225962798,5,0,0,285,2025/2/3,,7467215997225962798
440,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7473502498905509163,11,0,1,283,2025/2/20,,7473502498905509163
441,tiktok,@mariabjdzjo,https://www.tiktok.com/@mariabjdzjo/video/7470551257036410155,8,2,1,278,2025/2/12,,7470551257036410155
442,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7490596728056515886,0,0,0,270,2025/4/8,,7490596728056515886
443,tiktok,@bonoh230601,https://www.tiktok.com/@bonoh230601/video/7474820345611095342,4,0,0,263,2025/2/24,,7474820345611095342
444,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7486503817723383070,0,0,0,260,2025/3/27,,7486503817723383070
445,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7473695714946895150,10,0,0,259,2025/2/21,,7473695714946895150
446,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7467214215980305707,5,0,0,258,2025/2/3,,7467214215980305707
447,tiktok,@bonoh230601,https://www.tiktok.com/@bonoh230601/video/7486327729067937054,5,0,0,255,2025/3/27,,7486327729067937054
448,tiktok,@mariabjdzjo,https://www.tiktok.com/@mariabjdzjo/video/7490596798105537838,4,0,0,251,2025/4/13,,7490596798105537838
449,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7472782389916290346,7,0,2,246,2025/2/18,,7472782389916290346
450,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7490996476189920558,6,0,1,243,2025/4/9,,7490996476189920558
451,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7490521605932879150,10,0,0,209,2025/4/7,,7490521605932879150
452,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7489478704809413934,1,0,0,206,2025/4/5,,7489478704809413934
453,tiktok,@mariabjdzjo,https://www.tiktok.com/@mariabjdzjo/video/7469082630630296874,8,0,0,203,2025/2/9,,7469082630630296874
454,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7473518723551202603,2,0,0,201,2025/2/20,,7473518723551202603
455,tiktok,@bonoh230601,https://www.tiktok.com/@bonoh230601/video/7473098223830224170,3,0,0,201,2025/2/19,,7473098223830224170
456,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7482726693732617518,2,1,0,197,2025/3/17,,7482726693732617518
457,tiktok,#VALUE!,https://www.tiktok.com/@bonoh2306017/photo/7470004482538016043,1,0,0,188,2025/2/11,,#VALUE!
458,tiktok,@mariabjdzjo,https://www.tiktok.com/@mariabjdzjo/video/7472955521692126507,8,0,1,173,2025/2/19,,7472955521692126507
459,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7486157750318206251,0,0,0,171,2025/3/27,,7486157750318206251
460,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7485406332938358062,5,0,0,171,2025/3/25,,7485406332938358062
461,tiktok,@orozcde,https://www.tiktok.com/@orozcde/video/7486157713009937710,2,1,0,170,2025/3/27,,7486157713009937710
462,tiktok,@mariabjdzjo,https://www.tiktok.com/@mariabjdzjo/video/7488743043395341611,6,0,0,165,2025/4/3,,7488743043395341611
463,tiktok,#VALUE!,https://www.tiktok.com/@bonoh230601/photo/7470002858620882218,0,0,0,165,2025/2/11,,#VALUE!
464,tiktok,@bonoh230601,https://www.tiktok.com/@bonoh230601/video/7475023085175885099,1,0,0,162,2025/2/25,,7475023085175885099
465,tiktok,@mariabjdzjo,https://www.tiktok.com/@mariabjdzjo/video/7485406013928099118,2,0,1,158,2025/3/24,,7485406013928099118
466,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7490521538664484126,8,0,1,153,2025/4/7,,7490521538664484126
467,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7488030715892731182,1,0,0,136,2025/4/1,,7488030715892731182
468,tiktok,@orozcde,https://www.tiktok.com/@orozcde/video/7464248556983962922,3,0,0,134,2025/1/26,,7464248556983962922
469,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7488018735794621726,0,0,0,133,2025/4/1,,7488018735794621726
470,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7492802518381104414,2,0,0,68,2025/4/13,,7492802518381104414
471,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7492802534604573994,1,0,0,60,2025/4/13,,7492802534604573994
472,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7488018675178589486,1,0,0,53,2025/4/1,,7488018675178589486
473,tiktok,@mariabjdzjo,https://www.tiktok.com/@mariabjdzjo/video/7471678004557827374,4,0,0,35,2025/2/16,,7471678004557827374
474,tiktok,@orozcde,https://www.tiktok.com/@orozcde/video/7492802560856804654,0,0,0,29,2025/4/13,,7492802560856804654
475,tiktok,@mariabjdzjo,https://www.tiktok.com/@mariabjdzjo/video/7487620524810456366,0,0,0,13,2025/3/30,,7487620524810456366
