No.,Region,Platform,kol_account,kol_url,,
81,US,youtube,Brannon No d,https://www.youtube.com/watch?app=desktop&v=yDZ9GrNsf-s&list=LL&index=1,,
82,US,youtube,FishBee Product Reviews,https://www.youtube.com/watch?v=hGau_4adEIU,,
83,India,youtube,Mr LazyTech,https://www.youtube.com/watch?v=6uJ1Stn-r6Q&t=1s,,
84,India,youtube,AB Tech Vlog,https://www.youtube.com/watch?v=VN9IHp8qdiw,,
85,India,youtube,Rickyrodger,https://www.youtube.com/watch?v=t6K185yFccQ,,
86,India,youtube,Tech Therapy,https://www.youtube.com/watch?v=z12_ug0lU5k,,
87,India,youtube,Saurav Anuraj,https://www.youtube.com/watch?v=-1xKbtYZX9M,,
88,India,instagram,gizmogyn,https://www.instagram.com/reel/C2fFAYxvUuD/?igsh=MXd5ZXNheWZkY2JnNA%3D%3D,,
89,India,youtube,Mr Rude,https://www.youtube.com/watch?v=dhJN1mOtHQs&t=129s,,
90,India,instagram,mrcheri,https://www.instagram.com/reel/C3LBWCTxkG4/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,
91,India,instagram,technobhawesh,https://www.instagram.com/reel/C3bnW2Avak8/?igsh=dnU3Z3Bwa2FudDBi,,
92,India,youtube,Techzonical,https://www.youtube.com/watch?v=4NKYTkjqDbc,,
93,India,youtube,ETetra Gadgets,https://www.youtube.com/watch?v=9T1g1XDhe5A,,
94,India,youtube,Techdreams,https://www.youtube.com/watch?v=xP4mhnz4R9M&t=31s,,
95,India,youtube,TechFreak,https://www.youtube.com/watch?v=Gv5mNqnUMJc,,
96,India,youtube,Tech Bengali,https://www.youtube.com/watch?v=0M_LMzWOSis,,
97,India,youtube,Arjun Tech,https://www.youtube.com/watch?v=TxsMpZCNPJo,,
98,India,youtube,WhySoTechie,https://www.youtube.com/watch?v=okg1xn-FASo,,
99,India,instagram,AR7 TECH,https://www.instagram.com/reel/DDQ_OUfSxU2/,,
100,India,youtube,Electrical Unboxing,https://www.youtube.com/shorts/PTWNdz736AY,,
101,India,youtube,SteReo,https://www.youtube.com/shorts/1yvDIEteE3A,,
102,India,instagram,vivekartiste,https://www.instagram.com/p/C344KrLxU-l/,,
103,India,instagram,techbits__,https://www.instagram.com/reel/C4xpze6rBlC/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,
104,India,instagram,techxstreet,https://www.instagram.com/reel/C4-qntGvHW2/,,
105,India,instagram,ask.theashugandhi,https://www.instagram.com/ask.theashugandhi/,,
106,India,youtube,Gupta Information Systems in Hindi,https://www.youtube.com/shorts/BuZebi87qeE,,
107,India,youtube,Mr Rudee,https://www.youtube.com/watch?v=_fZogMcJH6o&t=181s,,
108,India,youtube,WhySoTechie,https://www.youtube.com/watch?v=oCHo7zHmP0Y,,
109,India,youtube,WhySoTechie,https://www.youtube.com/shorts/jTVVt7SM_OE,,
110,India,youtube,WhySoTechie,https://www.youtube.com/watch?v=-PjFO2ortDM&t=96s,,
111,India,youtube,WhySoTechie,https://www.youtube.com/watch?v=hsjPYfPs66Y,,
112,India,youtube,SteReo,https://www.youtube.com/shorts/aPOn2g4Hib8,,
113,India,youtube,SteReo,https://www.youtube.com/shorts/09kmvMT3d2I,,
114,India,youtube,AB Tech Vlog,https://www.youtube.com/watch?v=orPtHZw-Tow,,
115,India,instagram,technobhawesh,https://www.instagram.com/reel/C592Zd9y43n/?igsh=YnN4ZnU0aDJ1cGR0,,
116,India,instagram,mrcheri,https://www.instagram.com/reel/C6DPUu6Rfu3/?igsh=MW9nd2k1NzdhczZsNg%3D%3D,,
117,India,youtube,Technojoy Logy,https://www.youtube.com/watch?v=JbkED8CAdtI,,
118,India,instagram,techxanmol,https://www.instagram.com/edushop.in/reels/,,
119,India,youtube,Indori Explorer,https://www.youtube.com/watch?v=YM1aIqKb16Y,,
120,India,instagram,Rickyrodger,https://www.instagram.com/reel/C6Eb96py3-i/,,
121,India,youtube,Rickyrodger,https://www.youtube.com/watch?v=XAstmObjT8o&t=21s,,
122,India,youtube,Rickyrodger,https://www.youtube.com/shorts/i2ut0Ny1hl4,,
123,India,youtube,Meta Tech Reviews,https://www.youtube.com/watch?v=spJbpQXbmKc&t=22s,,
124,India,instagram,techbits__,https://www.instagram.com/reel/C63g_kixp79/,,
125,India,youtube,Tech Dreams,https://www.youtube.com/watch?v=PtivzZoAnFU&t=255s,,
126,India,instagram,ask.theashugandhi,https://www.instagram.com/reel/C7bine1Sp9W/,,
127,India,instagram,tec_viral,https://www.instagram.com/reel/C7mDwwxyCEu/,,
128,India,youtube,True Techy,https://www.youtube.com/watch?v=AK0yraaLWrw&t=189s,,
129,India,youtube,TechReflex,https://www.youtube.com/watch?v=vrmqUDhu0zg,,
